obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1,5,73512,59242,2420,6068,10118,7900,3581,366, NA, NA, NA,163207,  X*
2,6,100477,57967,6082,43785,21793,9913,6650,2979, NA, NA, NA,249646,  X*
3,7,1461,10578,6447,6576,23351,10875,12191,3118, NA, NA, NA,74597,  X*
4,8,68526,20898,11805,5639,10233,3935,5231,769,34,51, NA,127036,  X*
5,9,41015,18089,37063,11708,53508,13916,8919,6454,37,63, NA,190672,  X*
6,10,96395,166223,25125,7093,12313,14024,8640,3408,24,61, NA,333221,  X*
7,11,220367,14834,4586,1407,5824,2959,2880,998,21,63, NA,253855,  X*
8,12,64476,11068,5832,2349,871,2775,6400,229,24,64, NA,94000,  X*
9,13,36379,13543,6199,6778,5244,16312,11786,2492,41,60, NA,98733,  X*
10,14,1931745,164960,62702,7821,20928,10530,5610,3366,35,69, NA,2207662,  X*
11,15,5910,26151,1894,3354,20591,8249,8725,6736,44,56, NA,81610,  X*
12,16,57767,65755,63526,2800,8495,21638,10462,2867,47,61, NA,233310,  X*
13,17,78744,77375,23150,13604,18245,17949,21709,3575,27,60, NA,254351,  X*
14,18,63730,13929,2806,2000,5406,10452,4372,490,61,48, NA,103185,  X*
15,19,9160,19620,8890,6243,7994,4504,8151,3301,51,69, NA,67863,  X*
16,20,317391,102827,17033,24746,22417,21964,32505,3269,51,56, NA,542152,  X*
17,21,69280,4663,5797,1603,2317,4803,2235,2376,63,66, NA,93074,  X*
18,22.1,666475,56227,26381,13856,10091,26357,13250,3550,54,78, NA,816187,  X*
19,23,275422,47379,2412,9740,6976,5143,3802,1335,50,66, NA,352209,  X*
20,24,942792,187946,150827,69068,20601,20081,26079,11115,35,83, NA,1428509,  X*
21,25,107965,12358,5094,3084,3529,3426,4173,648,21,77, NA,140277,  X*
22,26,11636,23576,10812,16211,3568,10085,11167,4081,17,84, NA,91136,  X*
23,27,53089,4374,11815,3039,4531,1492,2304,604,14,100, NA,81248,  X*
24,28,59098,19500,992,2785,5701,22366,3874,726,54,75, NA,115042,  X*
25,29,79718,6938,9391,3867,1013,3857,3067,932,57,87, NA,108783,  X*
26,30,10882,22180,4648,821,12983,11809,26569,4736,67,61, NA,94628,  X*
27,31,505984,238687,30418,17665,36383,48852,10574,3251,78,30, NA,891814,  X*
28,32,129714,29002,12945,31068,16359,17047,9518,11667,61,57, NA,257320,  X*
29,33,112445,25502,17089,5302,2914,2581,1642,571,44,51, NA,168046,  X*
30,34,55190,33873,2213,10020,6196,3008,6172,1735,17,63, NA,118407,  X*
31,35,97408,14145,7071,929,1505,3348,2555,952,17,77, NA,127913,  X*
32,36,77268,7635,2451,3626,5878,9530,5515,376,30,64, NA,112279,  X*
33,37,95762,77135,37809,3800,35795,11524,5026,10056,38,54, NA,276907,  X*
34,38,4341,10285,26115,2606,9704,9586,11932,6432,57,70, NA,81001,  X*
35,39,97837,25891,6295,2730,797,1871,1511,1245,43,67, NA,138177,  X*
36,40,11881,63248,16898,15336,5590,14876,12847,2454,23,74, NA,143130,  X*
37,41,164543,16477,2797,4107,7605,5223,2945,638,35,69, NA,204335,  X*
38,42,79454,44703,9470,14167,73859,10012,12500,4183,26,47, NA,248348,  X*
39,43,226569,8831,6587,6720,4627,1941,2982,1241,35,57, NA,259498,  X*
40,44,105626,4908,2632,3787,8947,3155,2814,297,41,56, NA,132166,  X*
41,45,664377,69765,32277,32264,27526,32424,12604,3951,41,66, NA,875188,  X*
42,46,73292,30677,5381,4325,2301,2549,3355,3671,30,74, NA,125551,  X*
43,47,97467,21336,2881,5364,1178,4975,1470,2149,38,61, NA,136820,  X*
44,48,20278,29371,7416,2151,9511,12443,15349,2443,40,54, NA,98962,  X*
45,49,85089,8766,14462,1805,2312,3383,11669,601,34,64, NA,128087,  X*
46,50,73881,8479,1657,4929,2046,5429,10695,925,56,67, NA,108041,  X*
47,50,8068,29971,72770,18031,34495,43305,43820,4159,66,80, NA,254619,  X*
